CE ##            ADC A,#
FD CB $$ 95      LD L,RES 2,(IY+$)
FD CB $$ 9D      LD L,RES 3,(IY+$)
FD CB $$ A5      LD L,RES 4,(IY+$)
FD CB $$ AD      LD L,RES 5,(IY+$)
FD CB $$ B5      LD L,RES 6,(IY+$)
FD CB $$ BD      LD L,RES 7,(IY+$)
DD CB $$ 15      LD L,RL (IX+$)
FD CB $$ 15      LD L,RL (IY+$)
DD CB $$ 05      LD L,RLC (IX+$)
FD CB $$ 05      LD L,RLC (IY+$)
DD CB $$ 1D      LD L,RR (IX+$)
FD CB $$ 1D      LD L,RR (IY+$)
DD CB $$ 0D      LD L,RRC (IX+$)
FD CB $$ 0D      LD L,RRC (IY+$)
<group>          LD L,SET ?,(IX+?)
DD CB $$ C5      LD L,SET 0,(IX+$)
DD CB $$ CD      LD L,SET 1,(IX+$)
DD CB $$ D5      LD L,SET 2,(IX+$)
DD CB $$ DD      LD L,SET 3,(IX+$)
DD CB $$ E5      LD L,SET 4,(IX+$)
DD CB $$ ED      LD L,SET 5,(IX+$)
DD CB $$ F5      LD L,SET 6,(IX+$)
DD CB $$ FD      LD L,SET 7,(IX+$)
<group>          LD L,SET ?,(IY+?)
FD CB $$ C5      LD L,SET 0,(IY+$)
FD CB $$ CD      LD L,SET 1,(IY+$)
FD CB $$ D5      LD L,SET 2,(IY+$)
FD CB $$ DD      LD L,SET 3,(IY+$)
FD CB $$ E5      LD L,SET 4,(IY+$)
FD CB $$ ED      LD L,SET 5,(IY+$)
FD CB $$ F5      LD L,SET 6,(IY+$)
FD CB $$ FD      LD L,SET 7,(IY+$)
DD CB $$ 25      LD L,SLA (IX+$)
FD CB $$ 25      LD L,SLA (IY+$)
DD CB $$ 35      LD L,SLL (IX+$)
FD CB $$ 35      LD L,SLL (IY+$)
DD CB $$ 2D      LD L,SRA (IX+$)
FD CB $$ 2D      LD L,SRA (IY+$)
DD CB $$ 3D      LD L,SRL (IX+$)
FD CB $$ 3D      LD L,SRL (IY+$)
ED 7B @@ @@      LD SP,(@)
31 @@ @@         LD SP,@
F9               LD SP,HL
DD F9            LD SP,IX
FD F9            LD SP,IY
ED 4F            LD_R_A
ED A8            LDD
ED B8            LDDR
ED A0            LDI
ED B0            LDIR
ED 44            NEG
00               NOP
F6 ##            OR #
B6               OR (HL)
DD B6 $$         OR (IX+$)
FD B6 $$         OR (IY+$)
B7               OR A
B6               OR A,(HL)
B7               OR A,A
B0               OR A,B
B1               OR A,C
B2               OR A,D
B3               OR A,E
B4               OR A,H
B5               OR A,L
B0               OR B
B1               OR C
B2               OR D
B3               OR E
B4               OR H
DD B4            OR IXH
DD B5            OR IXL
FD B4            OR IYH
FD B5            OR IYL
B5               OR L
ED BB            OTDR
ED B3            OTIR
D3 ##            OUT (#),A
<group>          OUT (C),?
ED 71            OUT (C),0
ED 79            OUT (C),A
ED 41            OUT (C),B
ED 49            OUT (C),C
ED 51            OUT (C),D
ED 59            OUT (C),E
ED 61            OUT (C),H
ED 69            OUT (C),L
ED AB            OUTD
ED A3            OUTI
F1               POP AF
C1               POP BC
D1               POP DE
E1               POP HL
DD E1            POP IX
FD E1            POP IY
F5               PUSH AF
C5               PUSH BC
D5               PUSH DE
E5               PUSH HL
DD E5            PUSH IX
FD E5            PUSH IY
<group>          RES ?,(HL)
CB 86            RES 0,(HL)
CB 8E            RES 1,(HL)
CB 96            RES 2,(HL)
CB 9E            RES 3,(HL)
CB A6            RES 4,(HL)
CB AE            RES 5,(HL)
CB B6            RES 6,(HL)
CB BE            RES 7,(HL)
<group>          RES ?,(IX+?)
DD CB $$ 86      RES 0,(IX+$)
DD CB $$ 8E      RES 1,(IX+$)
DD CB $$ 96      RES 2,(IX+$)
DD CB $$ 9E      RES 3,(IX+$)
DD CB $$ A6      RES 4,(IX+$)
DD CB $$ AE      RES 5,(IX+$)
DD CB $$ B6      RES 6,(IX+$)
DD CB $$ BE      RES 7,(IX+$)
<group>          RES ?,(IY+?)
FD CB $$ 86      RES 0,(IY+$)
FD CB $$ 8E      RES 1,(IY+$)
FD CB $$ 96      RES 2,(IY+$)
FD CB $$ 9E      RES 3,(IY+$)
FD CB $$ A6      RES 4,(IY+$)
FD CB $$ AE      RES 5,(IY+$)
FD CB $$ B6      RES 6,(IY+$)
FD CB $$ BE      RES 7,(IY+$)
<group>          RES ?,A
CB 87            RES 0,A
CB 8F            RES 1,A
CB 97            RES 2,A
CB 9F            RES 3,A
CB A7            RES 4,A
CB AF            RES 5,A
CB B7            RES 6,A
CB BF            RES 7,A
<group>          RES ?,B
CB 80            RES 0,B
CB 88            RES 1,B
CB 90            RES 2,B
CB 98            RES 3,B
CB A0            RES 4,B
CB A8            RES 5,B
CB B0            RES 6,B
CB B8            RES 7,B
<group>          RES ?,C
CB 81            RES 0,C
CB 89            RES 1,C
CB 91            RES 2,C
CB 99            RES 3,C
CB A1            RES 4,C
CB A9            RES 5,C
CB B1            RES 6,C
CB B9            RES 7,C
<group>          RES ?,D
CB 82            RES 0,D
CB 8A            RES 1,D
CB 92            RES 2,D
CB 9A            RES 3,D
CB A2            RES 4,D
CB AA            RES 5,D
CB B2            RES 6,D
CB BA            RES 7,D
<group>          RES ?,E
CB 83            RES 0,E
CB 8B            RES 1,E
CB 93            RES 2,E
CB 9B            RES 3,E
CB A3            RES 4,E
CB AB            RES 5,E
CB B3            RES 6,E
CB BB            RES 7,E
<group>          RES ?,H
CB 84            RES 0,H
CB 8C            RES 1,H
CB 94            RES 2,H
CB 9C            RES 3,H
CB A4            RES 4,H
CB AC            RES 5,H
CB B4            RES 6,H
CB BC            RES 7,H
<group>          RES ?,L
CB 85            RES 0,L
CB 8D            RES 1,L
CB 95            RES 2,L
CB 9D            RES 3,L
CB A5            RES 4,L
CB AD            RES 5,L
CB B5            RES 6,L
CB BD            RES 7,L
C9               RET
D8               RET C
F8               RET M
D0               RET NC
C0               RET NZ
F0               RET P
E8               RET PE
E0               RET PO
C8               RET Z
ED 4D            RETI
ED 45            RETN
CB 16            RL (HL)
DD CB $$ 16      RL (IX+$)
FD CB $$ 16      RL (IY+$)
CB 17            RL A
CB 10            RL B
CB 11            RL C
CB 12            RL D
CB 13            RL E
CB 14            RL H
CB 15            RL L
17               RLA
CB 06            RLC (HL)
DD CB $$ 06      RLC (IX+$)
FD CB $$ 06      RLC (IY+$)
CB 07            RLC A
CB 00            RLC B
CB 01            RLC C
CB 02            RLC D
CB 03            RLC E
CB 04            RLC H
CB 05            RLC L
07               RLCA
ED 6F            RLD
CB 1E            RR (HL)
DD CB $$ 1E      RR (IX+$)
FD CB $$ 1E      RR (IY+$)
CB 1F            RR A
CB 18            RR B
CB 19            RR C
CB 1A            RR D
CB 1B            RR E
CB 1C            RR H
CB 1D            RR L
1F               RRA
CB 0E            RRC (HL)
DD CB $$ 0E      RRC (IX+$)
FD CB $$ 0E      RRC (IY+$)
CB 0F            RRC A
CB 08            RRC B
CB 09            RRC C
CB 0A            RRC D
CB 0B            RRC E
CB 0C            RRC H
CB 0D            RRC L
0F               RRCA
ED 67            RRD
<group>          RST ?
C7               RST 0x00
CF               RST 0x08
D7               RST 0x10
DF               RST 0x18
E7               RST 0x20
EF               RST 0x28
F7               RST 0x30
FF               RST 0x38
DE ##            SBC A,#
9E               SBC A,(HL)
DD 9E $$         SBC A,(IX+$)
FD 9E $$         SBC A,(IY+$)
9F               SBC A,A
98               SBC A,B
99               SBC A,C
9A               SBC A,D
9B               SBC A,E
9C               SBC A,H
DD 9C            SBC A,IXH
DD 9D            SBC A,IXL
FD 9C            SBC A,IYH
FD 9D            SBC A,IYL
9D               SBC A,L
ED 42            SBC HL,BC
ED 52            SBC HL,DE
ED 62            SBC HL,HL
ED 72            SBC HL,SP
37               SCF
<group>          SET ?,(HL)
CB C6            SET 0,(HL)
CB CE            SET 1,(HL)
CB D6            SET 2,(HL)
CB DE            SET 3,(HL)
CB E6            SET 4,(HL)
CB EE            SET 5,(HL)
CB F6            SET 6,(HL)
CB FE            SET 7,(HL)
<group>          SET ?,(IX+?)
DD CB $$ C6      SET 0,(IX+$)
DD CB $$ CE      SET 1,(IX+$)
DD CB $$ D6      SET 2,(IX+$)
DD CB $$ DE      SET 3,(IX+$)
DD CB $$ E6      SET 4,(IX+$)
DD CB $$ EE      SET 5,(IX+$)
DD CB $$ F6      SET 6,(IX+$)
DD CB $$ FE      SET 7,(IX+$)
<group>          SET ?,(IY+?)
FD CB $$ C6      SET 0,(IY+$)
FD CB $$ CE      SET 1,(IY+$)
FD CB $$ D6      SET 2,(IY+$)
FD CB $$ DE      SET 3,(IY+$)
FD CB $$ E6      SET 4,(IY+$)
FD CB $$ EE      SET 5,(IY+$)
FD CB $$ F6      SET 6,(IY+$)
FD CB $$ FE      SET 7,(IY+$)
<group>          SET ?,A
CB C7            SET 0,A
CB CF            SET 1,A
CB D7            SET 2,A
CB DF            SET 3,A
CB E7            SET 4,A
CB EF            SET 5,A
CB F7            SET 6,A
CB FF            SET 7,A
<group>          SET ?,B
CB C0            SET 0,B
CB C8            SET 1,B
CB D0            SET 2,B
CB D8            SET 3,B
CB E0            SET 4,B
CB E8            SET 5,B
CB F0            SET 6,B
CB F8            SET 7,B
<group>          SET ?,C
CB C1            SET 0,C
CB C9            SET 1,C
CB D1            SET 2,C
CB D9            SET 3,C
CB E1            SET 4,C
CB E9            SET 5,C
CB F1            SET 6,C
CB F9            SET 7,C
<group>          SET ?,D
CB C2            SET 0,D
CB CA            SET 1,D
CB D2            SET 2,D
CB DA            SET 3,D
CB E2            SET 4,D
CB EA            SET 5,D
CB F2            SET 6,D
CB FA            SET 7,D
<group>          SET ?,E
CB C3            SET 0,E
CB CB            SET 1,E
CB D3            SET 2,E
CB DB            SET 3,E
CB E3            SET 4,E
CB EB            SET 5,E
CB F3            SET 6,E
CB FB            SET 7,E
<group>          SET ?,H
CB C4            SET 0,H
CB CC            SET 1,H
CB D4            SET 2,H
CB DC            SET 3,H
CB E4            SET 4,H
CB EC            SET 5,H
CB F4            SET 6,H
CB FC            SET 7,H
<group>          SET ?,L
CB C5            SET 0,L
CB CD            SET 1,L
CB D5            SET 2,L
CB DD            SET 3,L
CB E5            SET 4,L
CB ED            SET 5,L
CB F5            SET 6,L
CB FD            SET 7,L
CB 26            SLA (HL)
DD CB $$ 26      SLA (IX+$)
FD CB $$ 26      SLA (IY+$)
CB 27            SLA A
CB 20            SLA B
CB 21            SLA C
CB 22            SLA D
CB 23            SLA E
CB 24            SLA H
CB 25            SLA L
CB 36            SLL (HL)
DD CB $$ 36      SLL (IX+$)
FD CB $$ 36      SLL (IY+$)
CB 37            SLL A
CB 30            SLL B
CB 31            SLL C
CB 32            SLL D
CB 33            SLL E
CB 34            SLL H
CB 35            SLL L
CB 2E            SRA (HL)
DD CB $$ 2E      SRA (IX+$)
FD CB $$ 2E      SRA (IY+$)
CB 2F            SRA A
CB 28            SRA B
CB 29            SRA C
CB 2A            SRA D
CB 2B            SRA E
CB 2C            SRA H
CB 2D            SRA L
CB 3E            SRL (HL)
DD CB $$ 3E      SRL (IX+$)
FD CB $$ 3E      SRL (IY+$)
CB 3F            SRL A
CB 38            SRL B
CB 39            SRL C
CB 3A            SRL D
CB 3B            SRL E
CB 3C            SRL H
CB 3D            SRL L
D6 ##            SUB #
96               SUB (HL)
DD 96 $$         SUB (IX+$)
FD 96 $$         SUB (IY+$)
97               SUB A
96               SUB A,(HL)
97               SUB A,A
90               SUB A,B
91               SUB A,C
92               SUB A,D
93               SUB A,E
94               SUB A,H
95               SUB A,L
90               SUB B
91               SUB C
92               SUB D
93               SUB E
94               SUB H
DD 94            SUB IXH
DD 95            SUB IXL
FD 94            SUB IYH
FD 95            SUB IYL
95               SUB L
EE ##            XOR #
AE               XOR (HL)
DD AE $$         XOR (IX+$)
FD AE $$         XOR (IY+$)
AF               XOR A
AE               XOR A,(HL)
AF               XOR A,A
A8               XOR A,B
A9               XOR A,C
AA               XOR A,D
AB               XOR A,E
AC               XOR A,H
AD               XOR A,L
A8               XOR B
A9               XOR C
AA               XOR D
AB               XOR E
AC               XOR H
DD AC            XOR IXH
DD AD            XOR IXL
FD AC            XOR IYH
FD AD            XOR IYL
AD               XOR L
